天,maschere: (義大利)
2020-01-01,7
2020-01-02,10
2020-01-03,10
2020-01-04,12
2020-01-05,11
2020-01-06,14
2020-01-07,12
2020-01-08,10
2020-01-09,15
2020-01-10,18
2020-01-11,17
2020-01-12,18
2020-01-13,19
2020-01-14,19
2020-01-15,18
2020-01-16,21
2020-01-17,20
2020-01-18,20
2020-01-19,20
2020-01-20,24
2020-01-21,21
2020-01-22,26
2020-01-23,26
2020-01-24,28
2020-01-25,26
2020-01-26,31
2020-01-27,25
2020-01-28,28
2020-01-29,31
2020-01-30,36
2020-01-31,47
2020-02-01,39
2020-02-02,33
2020-02-03,38
2020-02-04,39
2020-02-05,42
2020-02-06,47
2020-02-07,45
2020-02-08,33
2020-02-09,35
2020-02-10,43
2020-02-11,52
2020-02-12,57
2020-02-13,50
2020-02-14,41
2020-02-15,45
2020-02-16,54
2020-02-17,67
2020-02-18,73
2020-02-19,74
2020-02-20,78
2020-02-21,73
2020-02-22,95
2020-02-23,100
2020-02-24,81
2020-02-25,58
2020-02-26,37
2020-02-27,27
2020-02-28,23
2020-02-29,22
2020-03-01,23
2020-03-02,19
2020-03-03,20
2020-03-04,23
2020-03-05,25
2020-03-06,22
2020-03-07,27
2020-03-08,30
2020-03-09,53
2020-03-10,63
2020-03-11,61
2020-03-12,75
2020-03-13,70
2020-03-14,70
2020-03-15,75
2020-03-16,62
2020-03-17,61
2020-03-18,66
2020-03-19,50
2020-03-20,58
2020-03-21,57
2020-03-22,51
2020-03-23,40
2020-03-24,45
2020-03-25,45
2020-03-26,43
2020-03-27,56
2020-03-28,44
2020-03-29,44
2020-03-30,38
2020-03-31,37
2020-04-01,35
2020-04-02,32
2020-04-03,50
2020-04-04,48
2020-04-05,61
2020-04-06,46
2020-04-07,47
2020-04-08,38
2020-04-09,40
2020-04-10,37
2020-04-11,37
2020-04-12,27
2020-04-13,33
2020-04-14,27
2020-04-15,36
2020-04-16,33
2020-04-17,38
2020-04-18,39
2020-04-19,41
2020-04-20,32
2020-04-21,32
2020-04-22,36
2020-04-23,32
2020-04-24,34
2020-04-25,32
2020-04-26,32
2020-04-27,26
2020-04-28,30
2020-04-29,29
2020-04-30,34
2020-05-01,33
2020-05-02,27
2020-05-03,29
2020-05-04,21
2020-05-05,29
2020-05-06,23
2020-05-07,25
2020-05-08,30
2020-05-09,28
